DATE,FBITC051003
2004-01-01,1877.0
2005-01-01,2180.0
2006-01-01,2342.0
2007-01-01,2186.0
2008-01-01,2057.0
2009-01-01,2131.0
2010-01-01,1929.0
2011-01-01,1759.0
2012-01-01,1568.0
2013-01-01,1803.0
2014-01-01,1684.0
2015-01-01,1451.0
2016-01-01,1359.0
2017-01-01,1361.0
2018-01-01,1434.0
2019-01-01,1383.0
