DATE,FBITC051001
2004-01-01,505.0
2005-01-01,496.0
2006-01-01,594.0
2007-01-01,676.0
2008-01-01,669.0
2009-01-01,597.0
2010-01-01,520.0
2011-01-01,621.0
2012-01-01,532.0
2013-01-01,445.0
2014-01-01,439.0
2015-01-01,436.0
2016-01-01,422.0
2017-01-01,349.0
2018-01-01,322.0
2019-01-01,433.0
